size_of_term,number_of_term,steps_count,size_biggest_term_in_steps,size_reduced,cycled_reduction,increasing_reduction,has_normal_form,is_same_norm,is_same_val,is_same_name
16,929710003503755,7,51,1,False,False,True,True,True,True
16,929710003503756,7,42,1,False,False,True,True,True,True
16,929710003503757,7,36,1,False,False,True,True,True,True
16,929710003503758,7,42,1,False,False,True,True,True,True
16,929710003503759,7,37,1,False,False,True,True,True,True
16,929710003503760,7,36,1,False,False,True,True,True,True
16,929710003503761,7,36,1,False,False,True,True,True,True
16,929710003503762,7,36,1,False,False,True,True,True,True
16,929710003503763,7,37,1,False,False,True,True,True,True
16,929710003503764,7,36,1,False,False,True,True,True,True
16,929710003503765,7,36,1,False,False,True,True,True,True
16,929710003503766,7,37,1,False,False,True,True,True,True
16,929710003503767,7,36,1,False,False,True,True,True,True
16,929710003503768,7,42,1,False,False,True,True,True,True
16,929710003503769,7,37,1,False,False,True,True,True,True
16,929710003503770,7,37,1,False,False,True,True,True,True
16,929710003503771,7,37,1,False,False,True,True,True,True
16,929710003503772,7,38,1,False,False,True,True,True,True
16,929710003503773,7,35,1,False,False,True,True,True,True
16,929710003503774,7,35,1,False,False,True,True,True,True
16,929710003503775,7,36,1,False,False,True,True,True,True
16,929710003503776,7,35,1,False,False,True,True,True,True
16,929710003503777,7,35,1,False,False,True,True,True,True
16,929710003503778,7,36,1,False,False,True,True,True,True
16,929710003503779,7,35,1,False,False,True,True,True,True
16,929710003503780,7,41,1,False,False,True,True,True,True
16,929710003503781,7,36,1,False,False,True,True,True,True
16,929710003503782,7,36,1,False,False,True,True,True,True
16,929710003503783,7,36,1,False,False,True,True,True,True
16,929710003503784,7,37,1,False,False,True,True,True,True
16,929710003503785,7,39,1,False,False,True,True,False,True
16,929710003503786,7,39,1,False,False,True,True,False,True
16,929710003503787,7,36,1,False,False,True,True,True,True
16,929710003503788,7,39,1,False,False,True,True,False,True
16,929710003503789,7,41,1,False,False,True,True,False,True
16,929710003503790,7,36,1,False,False,True,True,False,True
16,929710003503791,7,36,1,False,False,True,True,True,True
16,929710003503792,7,36,1,False,False,True,True,True,True
16,929710003503793,7,37,1,False,False,True,True,True,True
16,929710003503794,7,39,1,False,False,True,True,False,True
16,929710003503795,7,41,1,False,False,True,True,False,True
16,929710003503796,7,36,1,False,False,True,True,False,True
16,929710003503797,7,41,1,False,False,True,True,False,True
16,929710003503798,7,51,1,False,False,True,True,False,True
16,929710003503799,7,42,1,False,False,True,True,False,True
16,929710003503800,7,36,1,False,False,True,True,True,True
16,929710003503801,7,42,1,False,False,True,True,True,True
16,929710003503802,7,37,1,False,False,True,True,True,True
16,929710003503803,7,36,1,False,False,True,True,True,True
16,929710003503804,7,36,1,False,False,True,True,True,True
16,929710003503805,7,37,1,False,False,True,True,True,True
16,929710003503806,7,36,1,False,False,True,True,True,True
16,929710003503807,7,42,1,False,False,True,True,True,True
16,929710003503808,7,37,1,False,False,True,True,True,True
16,929710003503809,7,37,1,False,False,True,True,True,True
16,929710003503810,7,37,1,False,False,True,True,True,True
16,929710003503811,7,38,1,False,False,True,True,True,True
16,929710003503812,7,34,1,False,False,True,True,True,True
16,929710003503813,7,34,1,False,False,True,True,True,True
16,929710003503814,7,34,1,False,False,True,True,True,True
16,929710003503815,7,35,1,False,False,True,True,True,True
16,929710003503816,7,34,1,False,False,True,True,True,True
16,929710003503817,7,34,1,False,False,True,True,True,True
16,929710003503818,7,35,1,False,False,True,True,True,True
16,929710003503819,7,34,1,False,False,True,True,True,True
16,929710003503820,7,40,1,False,False,True,True,True,True
16,929710003503821,7,35,1,False,False,True,True,True,True
16,929710003503822,7,35,1,False,False,True,True,True,True
16,929710003503823,7,35,1,False,False,True,True,True,True
16,929710003503824,7,36,1,False,False,True,True,True,True
16,929710003503825,7,34,1,False,False,True,True,True,True
16,929710003503826,7,34,1,False,False,True,True,True,True
16,929710003503827,7,34,1,False,False,True,True,True,True
16,929710003503828,7,35,1,False,False,True,True,True,True
16,929710003503829,7,38,1,False,False,True,True,True,True
16,929710003503830,7,38,1,False,False,True,True,True,True
16,929710003503831,7,35,1,False,False,True,True,True,True
16,929710003503832,7,38,1,False,False,True,True,True,True
16,929710003503833,7,40,1,False,False,True,True,True,True
16,929710003503834,7,35,1,False,False,True,True,True,True
16,929710003503835,7,35,1,False,False,True,True,True,True
16,929710003503836,7,35,1,False,False,True,True,True,True
16,929710003503837,7,36,1,False,False,True,True,True,True
16,929710003503838,7,34,1,False,False,True,True,True,True
16,929710003503839,7,34,1,False,False,True,True,True,True
16,929710003503840,7,40,1,False,False,True,True,True,True
16,929710003503841,7,35,1,False,False,True,True,True,True
16,929710003503842,7,38,1,False,False,True,True,True,True
16,929710003503843,7,40,1,False,False,True,True,True,True
16,929710003503844,7,35,1,False,False,True,True,True,True
16,929710003503845,7,40,1,False,False,True,True,True,True
16,929710003503846,7,50,1,False,False,True,True,True,True
16,929710003503847,7,41,1,False,False,True,True,True,True
16,929710003503848,7,35,1,False,False,True,True,True,True
16,929710003503849,7,41,1,False,False,True,True,True,True
16,929710003503850,7,36,1,False,False,True,True,True,True
16,929710003503851,7,35,1,False,False,True,True,True,True
16,929710003503852,7,35,1,False,False,True,True,True,True
16,929710003503853,7,35,1,False,False,True,True,True,True
16,929710003503854,7,36,1,False,False,True,True,True,True
16,929710003503855,7,35,1,False,False,True,True,True,True
16,929710003503856,7,35,1,False,False,True,True,True,True
16,929710003503857,7,36,1,False,False,True,True,True,True
16,929710003503858,7,35,1,False,False,True,True,True,True
16,929710003503859,7,41,1,False,False,True,True,True,True
16,929710003503860,7,36,1,False,False,True,True,True,True
16,929710003503861,7,36,1,False,False,True,True,True,True
16,929710003503862,7,36,1,False,False,True,True,True,True
16,929710003503863,7,37,1,False,False,True,True,True,True
16,929710003503864,7,34,1,False,False,True,True,True,True
16,929710003503865,7,38,1,False,False,True,True,True,True
16,929710003503866,7,38,1,False,False,True,True,True,True
16,929710003503867,7,35,1,False,False,True,True,True,True
16,929710003503868,7,48,1,False,False,True,True,False,True
16,929710003503869,7,48,1,False,False,True,True,False,True
16,929710003503870,7,39,1,False,False,True,True,False,True
16,929710003503871,7,48,1,False,False,True,True,False,True
16,929710003503872,7,48,1,False,False,True,True,False,True
16,929710003503873,7,39,1,False,False,True,True,False,True
16,929710003503874,7,39,1,False,False,True,True,False,True
16,929710003503875,7,39,1,False,False,True,True,False,True
16,929710003503876,7,36,1,False,False,True,True,True,True
16,929710003503877,7,34,1,False,False,True,True,True,True
16,929710003503878,7,38,1,False,False,True,True,True,True
16,929710003503879,7,40,1,False,False,True,True,True,True
16,929710003503880,7,35,1,False,False,True,True,True,True
16,929710003503881,7,48,1,False,False,True,True,False,True
16,929710003503882,7,48,1,False,False,True,True,False,True
16,929710003503883,7,39,1,False,False,True,True,False,True
16,929710003503884,7,48,1,False,False,True,True,False,True
16,929710003503885,7,50,1,False,False,True,True,False,True
16,929710003503886,7,41,1,False,False,True,True,False,True
16,929710003503887,7,39,1,False,False,True,True,False,True
16,929710003503888,7,41,1,False,False,True,True,False,True
16,929710003503889,7,36,1,False,False,True,True,True,True
16,929710003503890,7,35,1,False,False,True,True,True,True
16,929710003503891,7,35,1,False,False,True,True,True,True
16,929710003503892,7,35,1,False,False,True,True